,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
16,0,100,0.0003996372222900391,0.0007992744445800781,0.00019969940185546876,0.0003993988037109375,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,0,100,0.0011992454528808594,0.0007475000188788506,0.0007994651794433593,0.00039973271770491175,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0,100,0.0031250953674316407,0.006250190734863281,0.0,0.0,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0,100,0.006248760223388672,0.007653137036151037,0.0,0.0,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0,100,0.0,0.0,0.0,0.0,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0,100,0.003124713897705078,0.006249427795410156,0.003124570846557617,0.006249141693115233,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0,100,0.0031250953674316407,0.006250190734863282,0.0031250953674316407,0.006250190734863281,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0,100,0.006249570846557617,0.00765412984606176,0.0,0.0,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0,100,0.003124713897705078,0.006249427795410156,0.0,0.0,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0,100,0.0,0.0,0.0,0.0,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,0,100,0.003124856948852539,0.006249713897705078,0.003124713897705078,0.006249427795410156,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0,100,0.0021637916564941407,0.0024946464192339467,0.0005994319915771484,0.0004894341793641785,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0,100,0.0,0.0,0.0,0.0,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0,100,0.0031246185302734376,0.006249237060546876,0.0,0.0,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0,100,0.006249332427978515,0.0076538378407878345,0.0,0.0,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0,100,0.0031248092651367187,0.006249618530273437,0.0031248092651367187,0.006249618530273437,100,,linear,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0,100,0.0,0.0,0.003124856948852539,0.006249713897705078,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0,100,0.0,0.0,0.0,0.0,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,0,100,0.0031252384185791017,0.0062504768371582035,0.0,0.0,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.7,0.8,1.0,0.9473684210526315,0.8947368421052632,0.868421052631579,0.10703767426430452,46,0.9873417721518988,1.0,1.0,1.0,1.0,0.9974683544303797,0.005063291139240489
32,0,100,0.001407623291015625,0.000795645701217873,0.0005996227264404297,0.0004895906103498293,10,3,sigmoid,0.0001,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7,0.8,1.0,0.9473684210526315,0.8421052631578947,0.8578947368421052,0.10651882644777699,47,0.9493670886075949,0.9873417721518988,0.9875,1.0,1.0,0.9848417721518988,0.018608133118885564
35,0,100,0.0,0.0,0.0,0.0,10,4,sigmoid,0.0001,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7,0.8,1.0,0.9473684210526315,0.8421052631578947,0.8578947368421052,0.10651882644777699,47,0.9493670886075949,0.9873417721518988,0.9875,1.0,1.0,0.9848417721518988,0.018608133118885564
12,0,100,0.0031250953674316407,0.006250190734863282,0.0,0.0,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.7,0.8,0.8947368421052632,0.8947368421052632,0.7894736842105263,0.8157894736842106,0.07323169318284668,49,0.9746835443037974,0.9873417721518988,1.0,1.0,1.0,0.9924050632911392,0.010126582278481018
37,0,100,0.0,0.0,0.0,0.0,100,3,sigmoid,0.001,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.35,0.6,0.6842105263157895,0.6842105263157895,0.5789473684210527,0.5794736842105264,0.12249031845963786,50,0.5569620253164557,0.7215189873417721,0.5375,0.6625,0.625,0.6206962025316456,0.06769781023530483
40,0,100,0.003124856948852539,0.006249713897705078,0.0,0.0,100,4,sigmoid,0.001,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.35,0.6,0.6842105263157895,0.6842105263157895,0.5789473684210527,0.5794736842105264,0.12249031845963786,50,0.5569620253164557,0.7215189873417721,0.5375,0.6625,0.625,0.6206962025316456,0.06769781023530483
43,0,100,0.0,0.0,0.0,0.0,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.35,0.65,0.7894736842105263,0.631578947368421,0.3684210526315789,0.5578947368421052,0.17126707206085814,52,0.5316455696202531,0.7721518987341772,0.525,0.725,0.575,0.6257594936708861,0.10282591776339269
46,0,100,0.0,0.0,0.0,0.0,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.35,0.65,0.7894736842105263,0.631578947368421,0.3684210526315789,0.5578947368421052,0.17126707206085814,52,0.5316455696202531,0.7721518987341772,0.525,0.725,0.575,0.6257594936708861,0.10282591776339269
14,0,100,0.0015987396240234376,0.0004893183311765633,0.000999307632446289,5.352483825837052e-07,1,,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.3,0.45,0.5789473684210527,0.6842105263157895,0.3684210526315789,0.47631578947368414,0.13940912110436468,54,0.6835443037974683,0.6962025316455697,0.7375,0.675,0.6375,0.6859493670886077,0.032359262282565734
