,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
42,0.0,0.0,0.0,0.0,1000,3,sigmoid,0.01,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8333333333333334,0.7916666666666666,0.7916666666666666,0.875,0.75,0.8083333333333332,0.042491829279939886,39
24,0.0031244754791259766,0.006248950958251953,0.0,0.0,1,3,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333333,0.08333333333333334,41
27,0.0,0.0,0.0,0.0,1,4,sigmoid,0.01,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333333,0.08333333333333334,41
49,0.0,0.0,0.0,0.0,0.1,,,10,"{'C': 0.1, 'gamma': 10}",0.6666666666666666,0.4166666666666667,0.4166666666666667,0.375,0.375,0.45,0.10992421631894098,43
28,0.0031250953674316407,0.006250190734863282,0.0,0.0,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4416666666666666,0.2166666666666667,44
26,0.0031250953674316407,0.006250190734863282,0.0031250953674316407,0.006250190734863282,1,3,sigmoid,0.0001,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4416666666666666,0.2166666666666667,44
35,0.0,0.0,0.0031246185302734376,0.006249237060546876,10,4,sigmoid,0.0001,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4416666666666666,0.2166666666666667,44
32,0.0031246185302734376,0.006249237060546875,0.0,0.0,10,3,sigmoid,0.0001,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4416666666666666,0.2166666666666667,44
18,0.003124713897705078,0.006249427795410156,0.0,0.0,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4416666666666666,0.2166666666666667,44
14,0.0,0.0,0.0,0.0,1,,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4416666666666666,0.2166666666666667,44
12,0.003125,0.00625,0.0,0.0,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4416666666666666,0.2166666666666667,44
29,0.0,0.0,0.0,0.0,1,4,sigmoid,0.0001,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4416666666666666,0.2166666666666667,44
25,0.0,0.0,0.0,0.0,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4416666666666666,0.2166666666666667,44
